paper_id,fit_status,strict_bin,lenient_best_bin,claims_total,claims_covered,claim_ratio,per_paper_total_gb,per_paper_max_asset_gb
bamboo-00001,oversize-floor,,,6,0,0.0,406.3,326.0
bamboo-00002,leftover,,,16,0,0.0,107.085,25.783
bamboo-00003,strict,1,,30,30,1.0,0.166,0.098
bamboo-00004,oversize-floor,,1,27,21,0.778,155.933,155.0
bamboo-00005,leftover,,21,29,6,0.207,122.228,121.366
bamboo-00006,strict,5,,18,18,1.0,27.463,25.0
bamboo-00007,strict,9,,25,25,1.0,2.766,1.252
bamboo-00008,leftover,,,18,0,0.0,20.995,11.184
bamboo-00009,strict,39,,24,24,1.0,3.406,0.8
bamboo-00010,leftover,,,19,0,0.0,14.973,12.6
bamboo-00011,strict,14,,30,30,1.0,2.593,0.8
bamboo-00012,strict,5,,29,29,1.0,5.863,4.0
bamboo-00013,strict,5,,24,24,1.0,0.054,0.054
bamboo-00014,leftover,,2,27,1,0.037,75.109,24.859
bamboo-00015,strict,49,,17,17,1.0,6.128,3.0
bamboo-00016,strict,2,,30,30,1.0,0.889,0.466
bamboo-00017,strict,22,,30,30,1.0,0.898,0.803
bamboo-00018,oversize-floor,,9,27,7,0.259,766.987,640.484
bamboo-00019,leftover,,,0,0,0.0,21.999,4.852
bamboo-00020,leftover,,41,30,18,0.6,17.801,16.937
bamboo-00021,strict,39,,26,26,1.0,3.746,2.107
bamboo-00022,oversize-floor,,,1,0,0.0,219.0,155.0
bamboo-00023,oversize-total,,,18,0,0.0,196.124,130.4
bamboo-00024,leftover,,,7,0,0.0,9.965,9.965
bamboo-00025,strict,35,,6,6,1.0,6.108,4.657
bamboo-00026,leftover,,22,30,12,0.4,14.763,12.6
bamboo-00027,strict,39,,30,30,1.0,4.432,2.641
bamboo-00028,strict,43,,30,30,1.0,6.78,3.725
bamboo-00029,strict,39,,16,16,1.0,3.675,2.875
bamboo-00030,leftover,,,52,0,0.0,13.839,13.039
bamboo-00031,leftover,,,9,0,0.0,19.998,14.183
bamboo-00032,leftover,,,30,0,0.0,15.444,5.464
bamboo-00033,oversize-floor,,,6,0,0.0,1216.119,1210.719
bamboo-00034,strict,20,,12,12,1.0,0.8,0.8
bamboo-00035,strict,10,,30,30,1.0,3.924,1.593
bamboo-00036,oversize-floor,,,30,0,0.0,710.989,631.998
bamboo-00037,leftover,,,10,0,0.0,104.923,83.819
bamboo-00038,strict,14,,30,30,1.0,2.944,0.8
bamboo-00039,leftover,,14,23,9,0.391,28.8,25.0
bamboo-00040,strict,36,,25,25,1.0,4.52,2.0
bamboo-00041,oversize-floor,,,24,0,0.0,558.406,558.406
bamboo-00042,oversize-total,,,30,0,0.0,207.698,76.916
bamboo-00043,leftover,,52,30,1,0.033,11.124,3.5
bamboo-00044,leftover,,,8,0,0.0,13.992,4.35
bamboo-00045,leftover,,,1,0,0.0,14.985,14.185
bamboo-00046,oversize-total,,6,11,4,0.364,272.482,117.864
bamboo-00047,oversize-total,,,26,0,0.0,225.756,93.402
bamboo-00048,strict,33,,30,30,1.0,2.401,0.8
bamboo-00049,oversize-total,,,30,0,0.0,179.138,58.531
bamboo-00050,oversize-floor,,,5,0,0.0,483.526,472.158
bamboo-00051,oversize-floor,,,26,0,0.0,289.347,176.673
bamboo-00052,leftover,,,30,0,0.0,26.501,7.171
bamboo-00053,leftover,,,22,0,0.0,31.658,20.0
bamboo-00054,strict,33,,30,30,1.0,2.4,0.8
bamboo-00055,leftover,,45,30,4,0.133,38.028,13.0
bamboo-00056,leftover,,,28,0,0.0,117.001,69.849
bamboo-00057,strict,53,,6,6,1.0,7.198,6.398
bamboo-00058,strict,13,,32,32,1.0,9.96,6.896
bamboo-00059,leftover,,52,22,4,0.182,21.697,6.0
bamboo-00060,strict,10,,8,8,1.0,1.53,0.8
bamboo-00061,strict,57,,28,28,1.0,8.517,4.712
bamboo-00062,strict,9,,28,28,1.0,61.4,61.381
bamboo-00063,oversize-floor,,,30,0,0.0,165.6,155.0
bamboo-00064,strict,13,,6,6,1.0,3.664,0.8
bamboo-00065,leftover,,41,30,10,0.333,136.06,62.163
bamboo-00066,oversize-floor,,,27,0,0.0,1621.02,1060.317
bamboo-00067,strict,22,,30,30,1.0,0.986,0.8
bamboo-00068,leftover,,,24,0,0.0,70.164,61.259
bamboo-00069,leftover,,,27,0,0.0,16.07,12.107
bamboo-00070,strict,32,,0,0,1.0,2.4,0.8
bamboo-00071,oversize-floor,,,26,0,0.0,188.879,185.079
bamboo-00072,oversize-total,,,27,0,0.0,153.747,74.634
bamboo-00073,leftover,,,28,0,0.0,27.493,25.0
bamboo-00074,strict,52,,30,30,1.0,8.43,3.424
bamboo-00075,strict,52,,30,30,1.0,7.905,4.005
bamboo-00076,strict,51,,30,30,1.0,6.609,1.73
bamboo-00077,strict,33,,30,30,1.0,2.405,0.8
bamboo-00078,strict,37,,30,30,1.0,26.34,25.0
bamboo-00079,leftover,,,7,0,0.0,135.275,133.863
bamboo-00080,strict,7,,24,24,1.0,17.428,17.249
bamboo-00081,strict,25,,24,24,1.0,1.6,0.8
bamboo-00082,leftover,,15,30,20,0.667,33.553,21.719
bamboo-00083,leftover,,,28,0,0.0,17.336,14.936
bamboo-00084,strict,28,,28,28,1.0,1.6,0.8
bamboo-00085,strict,56,,4,4,1.0,7.874,5.474
bamboo-00086,strict,15,,29,29,1.0,36.107,23.283
bamboo-00087,oversize-floor,,9,30,27,0.9,642.008,640.484
bamboo-00088,oversize-floor,,6,27,4,0.148,580.934,326.0
bamboo-00089,strict,7,,25,25,1.0,4.635,3.542
bamboo-00090,strict,32,,1,1,1.0,2.328,2.328
bamboo-00091,strict,45,,25,25,1.0,8.878,6.5
bamboo-00092,strict,4,,30,30,1.0,0.019,0.019
bamboo-00093,oversize-floor,,,7,0,0.0,1360.694,1210.719
bamboo-00094,leftover,,,28,0,0.0,45.246,24.214
bamboo-00095,oversize-floor,,,17,0,0.0,295.373,166.129
bamboo-00096,strict,54,,6,6,1.0,7.648,6.048
bamboo-00097,leftover,,,30,0,0.0,13.457,3.219
bamboo-00098,oversize-total,,,30,0,0.0,318.206,91.718
bamboo-00099,oversize-floor,,,30,0,0.0,212.25,155.0
bamboo-00100,leftover,,,6,0,0.0,75.382,28.38
bamboo-00101,strict,1,,30,30,1.0,0.602,0.25
bamboo-00102,strict,41,,25,25,1.0,4.097,3.0
bamboo-00103,strict,29,,30,30,1.0,1.605,0.8
bamboo-00104,strict,1,,3,3,1.0,0.034,0.029
bamboo-00105,strict,1,,30,30,1.0,0.332,0.166
bamboo-00106,strict,1,,30,30,1.0,0.669,0.25
bamboo-00107,oversize-floor,,45,30,22,0.733,174.374,155.0
bamboo-00108,strict,7,,30,30,1.0,19.014,17.249
bamboo-00109,leftover,,31,6,1,0.167,88.054,24.214
bamboo-00110,oversize-floor,,1,9,6,0.667,155.166,155.0
bamboo-00111,oversize-total,,,30,0,0.0,155.586,25.0
bamboo-00112,leftover,,,4,0,0.0,141.263,49.599
bamboo-00113,strict,1,,0,0,1.0,0.0,0.0
bamboo-00114,strict,51,,6,6,1.0,7.769,3.452
bamboo-00115,leftover,,,30,0,0.0,25.158,12.107
bamboo-00116,oversize-floor,,,30,0,0.0,636.142,629.337
bamboo-00117,leftover,,31,26,1,0.038,116.184,61.605
bamboo-00118,strict,41,,30,30,1.0,4.163,2.5
bamboo-00119,leftover,,,9,0,0.0,55.382,46.019
bamboo-00120,strict,4,,30,30,1.0,0.933,0.718
bamboo-00121,leftover,,,10,0,0.0,22.6,3.0
bamboo-00122,strict,24,,4,4,1.0,1.6,0.8
bamboo-00123,oversize-floor,,,9,0,0.0,333.844,326.0
bamboo-00124,oversize-floor,,,20,0,0.0,335.1,326.0
bamboo-00125,strict,33,,24,24,1.0,3.2,0.8
bamboo-00126,strict,38,,20,20,1.0,3.2,0.8
bamboo-00127,oversize-floor,,2,30,19,0.633,288.351,284.0
bamboo-00128,strict,41,,11,11,1.0,4.178,3.0
bamboo-00129,strict,5,,5,5,1.0,3.0,3.0
bamboo-00130,leftover,,,7,0,0.0,60.462,26.451
bamboo-00131,leftover,,,30,0,0.0,73.668,25.11
bamboo-00132,strict,10,,17,17,1.0,0.2,0.1
bamboo-00133,strict,1,,0,0,1.0,0.0,0.0
bamboo-00134,oversize-floor,,1,18,14,0.778,158.666,155.0
bamboo-00135,oversize-floor,,7,8,1,0.125,171.825,155.0
bamboo-00136,leftover,,,8,0,0.0,35.15,30.891
bamboo-00137,leftover,,,6,0,0.0,22.335,18.962
bamboo-00138,oversize-total,,,5,0,0.0,200.761,138.539
bamboo-00139,strict,48,,9,9,1.0,5.887,3.0
bamboo-00140,oversize-floor,,,8,0,0.0,155.0,155.0
bamboo-00141,strict,46,,29,29,1.0,6.034,3.229
bamboo-00142,leftover,,,9,0,0.0,88.526,52.044
bamboo-00143,strict,3,,6,6,1.0,1.704,0.904
bamboo-00144,strict,15,,7,7,1.0,47.646,25.103
bamboo-00145,strict,60,,6,6,1.0,13.424,4.912
bamboo-00146,oversize-total,,,1,0,0.0,161.038,25.796
bamboo-00147,leftover,,,21,0,0.0,40.413,24.2
bamboo-00148,leftover,,,28,0,0.0,16.381,13.981
bamboo-00149,leftover,,,7,0,0.0,13.52,12.6
bamboo-00150,oversize-floor,,,5,0,0.0,577.72,576.12
bamboo-00151,oversize-floor,,,6,0,0.0,197.282,155.0
bamboo-00152,strict,1,,0,0,1.0,0.0,0.0
bamboo-00153,oversize-floor,,,6,0,0.0,766.033,326.0
bamboo-00154,strict,51,,8,8,1.0,6.748,5.148
bamboo-00155,leftover,,,6,0,0.0,10.962,4.062
bamboo-00156,leftover,,2,24,3,0.125,52.595,24.244
bamboo-00157,leftover,,,4,0,0.0,12.323,4.005
bamboo-00158,strict,16,,6,6,1.0,0.8,0.8
bamboo-00159,strict,18,,20,20,1.0,0.8,0.8
bamboo-00160,leftover,,,8,0,0.0,46.71,24.214
bamboo-00161,strict,12,,14,14,1.0,126.428,116.688
bamboo-00162,leftover,,,3,0,0.0,14.348,7.445
bamboo-00163,strict,28,,5,5,1.0,1.6,0.8
bamboo-00164,strict,3,,6,6,1.0,25.0,25.0
bamboo-00165,strict,16,,11,11,1.0,0.8,0.8
bamboo-00166,strict,47,,4,4,1.0,5.932,3.532
bamboo-00167,leftover,,,0,0,0.0,100.463,27.359
bamboo-00168,leftover,,,8,0,0.0,41.605,18.455
bamboo-00169,leftover,,,3,0,0.0,10.0,3.0
bamboo-00170,oversize-floor,,,20,0,0.0,1046.066,931.323
bamboo-00171,strict,8,,0,0,1.0,14.949,14.9
bamboo-00172,oversize-floor,,,0,0,0.0,17730.562,16267.587
bamboo-00173,leftover,,,0,0,0.0,50.95,25.0
bamboo-00174,strict,13,,30,30,1.0,0.745,0.745
bamboo-00175,leftover,,,0,0,0.0,10.5,7.5
bamboo-00176,strict,38,,10,10,1.0,3.2,0.8
bamboo-00177,oversize-floor,,,3,0,0.0,1347.431,1342.831
bamboo-00178,oversize-floor,,,0,0,0.0,160.39,156.39
bamboo-00179,strict,15,,7,7,1.0,12.929,12.6
bamboo-00180,strict,57,,6,6,1.0,8.4,3.0
bamboo-00181,leftover,,,8,0,0.0,18.107,12.107
bamboo-00182,leftover,,,0,0,0.0,43.224,15.0
bamboo-00183,strict,18,,20,20,1.0,0.8,0.8
bamboo-00184,leftover,,,11,0,0.0,28.708,14.9
bamboo-00185,strict,1,,0,0,1.0,0.0,0.0
bamboo-00186,strict,39,,1,1,1.0,3.797,1.397
bamboo-00187,leftover,,,10,0,0.0,92.52,68.984
bamboo-00188,leftover,,,3,0,0.0,63.017,25.0
bamboo-00189,strict,1,,0,0,1.0,0.0,0.0
bamboo-00190,leftover,,,0,0,0.0,45.369,29.871
bamboo-00191,strict,25,,13,13,1.0,1.6,0.8
bamboo-00192,leftover,,15,8,1,0.125,25.182,20.489
bamboo-00193,strict,41,,1,1,1.0,4.297,0.8
bamboo-00194,oversize-floor,,,2,0,0.0,270.937,155.0
bamboo-00195,leftover,,,30,0,0.0,122.51,64.054
bamboo-00196,strict,12,,14,14,1.0,6.741,2.0
bamboo-00197,strict,51,,9,9,1.0,7.392,3.0
bamboo-00198,strict,31,,25,25,1.0,1.615,0.8
bamboo-00199,leftover,,,19,0,0.0,27.7,14.9
bamboo-00200,strict,25,,0,0,1.0,1.6,0.8
bamboo-00201,oversize-floor,,51,6,1,0.167,208.569,180.0
bamboo-00202,strict,40,,3,3,1.0,3.8,3.0
bamboo-00203,oversize-total,,,10,0,0.0,200.609,96.973
bamboo-00204,leftover,,8,30,9,0.3,15.047,13.0
bamboo-00205,leftover,,,13,0,0.0,91.748,29.915
bamboo-00206,leftover,,20,7,2,0.286,52.973,25.103
bamboo-00207,strict,37,,0,0,1.0,27.694,25.0
bamboo-00208,strict,7,,16,16,1.0,9.569,4.712
bamboo-00209,oversize-total,,,0,0,0.0,169.528,135.426
bamboo-00210,strict,20,,27,27,1.0,63.551,33.528
bamboo-00211,oversize-floor,,,10,0,0.0,311.5,284.0
bamboo-00212,leftover,,,8,0,0.0,76.984,44.013
bamboo-00213,strict,22,,12,12,1.0,0.917,0.8
bamboo-00214,strict,31,,7,7,1.0,1.942,1.142
bamboo-00215,strict,49,,20,20,1.0,11.639,5.021
bamboo-00216,leftover,,,8,0,0.0,30.414,20.053
bamboo-00217,strict,14,,4,4,1.0,4.585,2.107
bamboo-00218,oversize-floor,,,24,0,0.0,567.131,563.931
bamboo-00219,strict,31,,9,9,1.0,1.894,0.8
bamboo-00220,strict,22,,18,18,1.0,1.81,0.8
bamboo-00221,oversize-floor,,,15,0,0.0,1624.62,1060.317
bamboo-00222,strict,26,,10,10,1.0,1.6,0.8
bamboo-00223,leftover,,,14,0,0.0,32.012,30.195
bamboo-00224,strict,41,,6,6,1.0,4.163,2.5
bamboo-00225,leftover,,,14,0,0.0,77.942,76.342
bamboo-00226,strict,3,,18,18,1.0,1.361,0.8
bamboo-00227,leftover,,,0,0,0.0,135.005,105.0
bamboo-00228,strict,15,,22,22,1.0,35.064,22.352
bamboo-00229,oversize-floor,,,0,0,0.0,1547.394,1300.0
bamboo-00230,leftover,,,20,0,0.0,17.837,4.712
bamboo-00231,leftover,,,16,0,0.0,42.636,38.836
bamboo-00232,strict,10,,12,12,1.0,7.254,4.101
bamboo-00233,leftover,,,11,0,0.0,20.552,7.11
bamboo-00234,oversize-floor,,,10,0,0.0,762.074,687.569
bamboo-00235,strict,36,,16,16,1.0,3.011,2.963
bamboo-00236,strict,18,,12,12,1.0,0.8,0.8
bamboo-00237,oversize-floor,,,12,0,0.0,193.0,155.0
bamboo-00238,leftover,,39,16,10,0.625,21.064,14.638
bamboo-00239,strict,40,,0,0,1.0,3.8,3.0
bamboo-00240,strict,2,,12,12,1.0,0.875,0.466
bamboo-00241,strict,38,,4,4,1.0,3.463,1.863
bamboo-00242,leftover,,,8,0,0.0,74.966,58.531
bamboo-00243,oversize-floor,,,6,0,0.0,184.604,180.0
bamboo-00244,leftover,,,9,0,0.0,39.803,22.973
bamboo-00245,leftover,,22,10,3,0.3,27.61,20.489
bamboo-00246,strict,31,,18,18,1.0,2.161,1.0
bamboo-00247,strict,22,,1,1,1.0,0.844,0.8
bamboo-00248,leftover,,,16,0,0.0,52.123,46.854
bamboo-00249,oversize-floor,,20,15,10,0.667,1221.173,1210.719
bamboo-00250,oversize-floor,,5,10,5,0.5,163.513,155.0
bamboo-00251,leftover,,,9,0,0.0,42.908,15.0
bamboo-00252,oversize-floor,,,10,0,0.0,200.733,155.0
bamboo-00253,oversize-floor,,,10,0,0.0,270.02,166.911
bamboo-00254,strict,51,,10,10,1.0,6.8,3.0
bamboo-00255,strict,46,,10,10,1.0,5.142,3.542
bamboo-00256,leftover,,,8,0,0.0,40.787,14.9
bamboo-00257,strict,3,,18,18,1.0,0.868,0.8
bamboo-00258,strict,10,,7,7,1.0,0.151,0.076
bamboo-00259,oversize-floor,,1,15,10,0.667,159.159,155.0
bamboo-00260,strict,4,,6,6,1.0,0.043,0.023
bamboo-00261,strict,1,,0,0,1.0,0.0,0.0
bamboo-00262,oversize-floor,,5,11,9,0.818,157.25,155.0
bamboo-00263,strict,51,,6,6,1.0,7.324,4.9
bamboo-00264,strict,21,,10,10,1.0,0.813,0.8
bamboo-00265,strict,5,,12,12,1.0,26.888,25.0
bamboo-00266,leftover,,,5,0,0.0,87.041,65.716
bamboo-00267,leftover,,,10,0,0.0,39.659,15.0
bamboo-00268,oversize-floor,,,9,0,0.0,886.946,207.145
bamboo-00269,strict,41,,9,9,1.0,3.962,1.875
bamboo-00270,strict,38,,20,20,1.0,4.605,1.2
bamboo-00271,oversize-floor,,,14,0,0.0,1564.723,1060.317
bamboo-00272,strict,50,,11,11,1.0,6.2,3.0
bamboo-00273,leftover,,,6,0,0.0,28.637,25.0
bamboo-00274,leftover,,2,30,1,0.033,85.403,24.2
bamboo-00275,strict,1,,9,9,1.0,0.41,0.41
bamboo-00276,strict,32,,10,10,1.0,2.4,0.8
bamboo-00277,strict,2,,9,9,1.0,27.5,14.9
bamboo-00278,strict,40,,7,7,1.0,3.8,3.0
bamboo-00279,oversize-floor,,,13,0,0.0,413.957,280.328
bamboo-00280,leftover,,,3,0,0.0,38.011,9.349
bamboo-00281,leftover,,,11,0,0.0,41.128,33.528
bamboo-00282,leftover,,,13,0,0.0,134.763,133.863
bamboo-00283,strict,22,,9,9,1.0,1.83,0.8
bamboo-00284,strict,1,,0,0,1.0,0.0,0.0
bamboo-00285,strict,16,,12,12,1.0,0.8,0.8
bamboo-00286,strict,19,,12,12,1.0,15.7,14.9
bamboo-00287,leftover,,,12,0,0.0,130.583,42.523
bamboo-00288,oversize-total,,,13,0,0.0,158.711,130.4
bamboo-00289,leftover,,,9,0,0.0,31.745,14.9
bamboo-00290,strict,1,,0,0,1.0,0.0,0.0
bamboo-00291,strict,22,,13,13,1.0,1.11,0.8
bamboo-00292,leftover,,,0,0,0.0,64.32,15.445
bamboo-00293,oversize-total,,,0,0,0.0,298.828,87.366
bamboo-00294,leftover,,,9,0,0.0,104.4,60.0
bamboo-00295,strict,39,,8,8,1.0,3.8,3.0
bamboo-00296,oversize-total,,,3,0,0.0,172.375,130.385
bamboo-00297,oversize-floor,,,20,0,0.0,913.129,428.312
bamboo-00298,leftover,,,3,0,0.0,31.446,17.695
bamboo-00299,leftover,,,12,0,0.0,33.29,26.646
bamboo-00300,oversize-total,,,17,0,0.0,170.258,135.0
bamboo-00301,oversize-total,,,4,0,0.0,186.344,25.783
bamboo-00302,strict,21,,9,9,1.0,0.803,0.8
bamboo-00303,leftover,,,6,0,0.0,25.879,14.9
bamboo-00304,leftover,,,9,0,0.0,58.469,14.9
bamboo-00305,leftover,,,10,0,0.0,147.664,135.0
bamboo-00306,strict,49,,12,12,1.0,6.011,1.211
bamboo-00307,leftover,,,2,0,0.0,70.766,42.466
bamboo-00308,leftover,,,11,0,0.0,83.422,17.214
bamboo-00309,oversize-total,,,0,0,0.0,150.133,131.417
bamboo-00310,leftover,,,8,0,0.0,52.671,36.328
bamboo-00311,leftover,,,7,0,0.0,98.039,26.389
bamboo-00312,leftover,,1,9,6,0.667,63.627,45.627
bamboo-00313,oversize-total,,,1,0,0.0,161.857,53.905
bamboo-00314,strict,1,,0,0,1.0,0.0,0.0
bamboo-00315,oversize-floor,,,13,0,0.0,1075.622,800.0
bamboo-00316,oversize-total,,2,5,2,0.4,222.65,61.028
bamboo-00317,strict,11,,8,8,1.0,18.46,14.9
bamboo-00318,strict,11,,12,12,1.0,0.268,0.268
bamboo-00319,strict,35,,9,9,1.0,2.878,2.875
bamboo-00320,strict,2,,10,10,1.0,14.9,14.9
bamboo-00321,leftover,,,23,0,0.0,36.853,15.162
bamboo-00322,leftover,,,2,0,0.0,63.888,45.627
bamboo-00323,strict,27,,10,10,1.0,15.751,14.9
bamboo-00324,strict,1,,0,0,1.0,0.0,0.0
bamboo-00325,leftover,,,17,0,0.0,43.832,26.334
bamboo-00326,oversize-total,,,3,0,0.0,1379.896,146.047
bamboo-00327,oversize-floor,,2,17,1,0.059,422.317,284.0
bamboo-00328,oversize-total,,3,9,5,0.556,292.884,131.417
bamboo-00329,strict,41,,7,7,1.0,4.0,0.8
bamboo-00330,strict,1,,0,0,1.0,0.0,0.0
bamboo-00331,strict,4,,2,2,1.0,34.848,14.9
bamboo-00332,oversize-total,,,0,0,0.0,161.676,136.311
bamboo-00333,strict,39,,12,12,1.0,3.503,1.865
bamboo-00334,oversize-floor,,,1,0,0.0,452.508,261.944
bamboo-00335,strict,31,,9,9,1.0,1.96,0.8
bamboo-00336,leftover,,,5,0,0.0,32.596,32.596
bamboo-00337,leftover,,,8,0,0.0,22.339,13.039
bamboo-00338,leftover,,4,10,5,0.5,41.352,22.0
bamboo-00339,leftover,,,19,0,0.0,113.522,48.801
bamboo-00340,leftover,,,9,0,0.0,14.75,13.336
bamboo-00341,strict,10,,4,4,1.0,0.18,0.18
bamboo-00342,oversize-floor,,54,7,3,0.429,230.014,177.4
bamboo-00343,strict,42,,7,7,1.0,4.29,0.838
bamboo-00344,strict,47,,6,6,1.0,5.376,2.235
bamboo-00345,leftover,,,8,0,0.0,36.672,26.646
bamboo-00346,leftover,,3,18,5,0.278,27.034,14.9
bamboo-00347,oversize-total,,4,9,1,0.111,153.47,61.028
bamboo-00348,strict,1,,10,10,1.0,0.001,0.001
bamboo-00349,strict,34,,18,18,1.0,2.648,2.648
bamboo-00350,oversize-total,,,7,0,0.0,217.315,136.729
bamboo-00351,leftover,,,12,0,0.0,15.015,14.958
bamboo-00352,leftover,,19,8,5,0.625,107.858,60.0
bamboo-00353,strict,40,,7,7,1.0,3.8,3.0
bamboo-00354,leftover,,,8,0,0.0,29.184,26.978
bamboo-00355,strict,59,,5,5,1.0,9.089,3.0
bamboo-00356,leftover,,,6,0,0.0,64.912,22.352
bamboo-00357,leftover,,,13,0,0.0,127.797,69.849
bamboo-00358,leftover,,2,9,2,0.222,31.009,14.9
bamboo-00359,strict,1,,0,0,1.0,0.0,0.0
bamboo-00360,strict,3,,15,15,1.0,14.9,14.9
bamboo-00361,oversize-total,,,2,0,0.0,369.741,135.0
bamboo-00362,leftover,,,11,0,0.0,18.342,13.0
bamboo-00363,strict,37,,3,3,1.0,3.33,3.002
bamboo-00364,leftover,,3,25,3,0.12,30.605,16.0
bamboo-00365,leftover,,,9,0,0.0,11.014,6.5
bamboo-00366,leftover,,1,12,3,0.25,31.331,15.0
bamboo-00367,oversize-floor,,,0,0,0.0,17137.052,16267.587
bamboo-00368,leftover,,4,16,1,0.062,102.824,27.511
bamboo-00369,strict,3,,0,0,1.0,24.898,14.9
bamboo-00370,leftover,,,0,0,0.0,65.328,61.028
bamboo-00371,leftover,,,0,0,0.0,59.708,27.0
bamboo-00372,leftover,,2,23,4,0.174,29.1,14.9
bamboo-00373,leftover,,,0,0,0.0,108.079,45.627
bamboo-00374,leftover,,,9,0,0.0,30.398,5.47
bamboo-00375,oversize-floor,,,0,0,0.0,1657.445,800.0
bamboo-00376,leftover,,,0,0,0.0,65.904,24.2
bamboo-00377,leftover,,,0,0,0.0,54.786,34.428
bamboo-00378,oversize-total,,,1,0,0.0,175.544,125.95
bamboo-00379,oversize-total,,,17,0,0.0,378.739,130.4
bamboo-00380,leftover,,,0,0,0.0,21.465,10.472
bamboo-00381,strict,1,,0,0,1.0,0.0,0.0
bamboo-00382,leftover,,,14,0,0.0,21.311,14.9
bamboo-00383,strict,4,,21,21,1.0,14.913,14.9
bamboo-00384,oversize-total,,,14,0,0.0,219.939,130.4
bamboo-00385,leftover,,,10,0,0.0,33.197,24.214
bamboo-00386,leftover,,,13,0,0.0,81.693,69.849
bamboo-00387,oversize-floor,,,15,0,0.0,476.8,284.0
bamboo-00388,oversize-floor,,,10,0,0.0,310.066,284.0
bamboo-00389,leftover,,,2,0,0.0,74.329,28.094
bamboo-00390,leftover,,,12,0,0.0,81.178,29.664
bamboo-00391,leftover,,,17,0,0.0,82.737,18.0
bamboo-00392,leftover,,,13,0,0.0,44.522,15.0
bamboo-00393,leftover,,,11,0,0.0,44.19,36.79
bamboo-00394,oversize-floor,,,11,0,0.0,485.363,314.971
bamboo-00395,oversize-floor,,,17,0,0.0,12891.588,12856.35
bamboo-00396,leftover,,,1,0,0.0,103.875,28.869
bamboo-00397,strict,34,,19,19,1.0,2.81,0.8
bamboo-00398,strict,39,,3,3,1.0,3.563,1.963
bamboo-00399,leftover,,,19,0,0.0,132.604,130.4
bamboo-00400,oversize-floor,,,14,0,0.0,472.262,312.31
bamboo-00401,leftover,,,14,0,0.0,44.452,15.0
bamboo-00402,leftover,,,3,0,0.0,42.94,14.9
bamboo-00403,leftover,,,1,0,0.0,25.103,25.103
bamboo-00404,leftover,,,16,0,0.0,137.11,136.738
bamboo-00405,strict,1,,0,0,1.0,0.0,0.0
bamboo-00406,strict,28,,1,1,1.0,130.4,130.4
bamboo-00407,oversize-floor,,,12,0,0.0,1165.503,273.095
bamboo-00408,leftover,,,10,0,0.0,44.457,40.923
bamboo-00409,leftover,,,0,0,0.0,133.479,69.849
bamboo-00410,leftover,,,0,0,0.0,51.795,12.6
bamboo-00411,leftover,,,6,0,0.0,147.272,24.868
bamboo-00412,oversize-floor,,,6,0,0.0,817.131,456.758
bamboo-00413,leftover,,,18,0,0.0,48.834,27.0
bamboo-00414,oversize-floor,,2,21,4,0.19,5502.739,5143.905
bamboo-00415,strict,20,,9,9,1.0,15.7,14.9
bamboo-00416,leftover,,,10,0,0.0,18.923,14.2
bamboo-00417,leftover,,,0,0,0.0,144.192,47.524
bamboo-00418,strict,34,,0,0,1.0,16.489,14.624
bamboo-00419,leftover,,,18,0,0.0,20.3,13.0
bamboo-00420,leftover,,,12,0,0.0,31.881,27.672
bamboo-00421,oversize-floor,,,14,0,0.0,918.422,428.312
bamboo-00422,leftover,,,27,0,0.0,50.744,14.901
bamboo-00423,strict,43,,15,15,1.0,4.456,2.228
bamboo-00424,strict,15,,22,22,1.0,8.638,4.657
bamboo-00425,strict,8,,16,16,1.0,27.978,14.9
bamboo-00426,oversize-floor,,,30,0,0.0,28615.172,16267.587
bamboo-00427,strict,1,,0,0,1.0,0.0,0.0
bamboo-00428,strict,1,,0,0,1.0,0.0,0.0
bamboo-00429,oversize-floor,,,17,0,0.0,249.574,155.0
bamboo-00430,strict,20,,18,18,1.0,11.39,10.589
bamboo-00431,leftover,,,13,0,0.0,108.112,69.849
bamboo-00432,leftover,,,14,0,0.0,22.467,14.2
bamboo-00433,oversize-total,,,0,0,0.0,164.982,130.4
bamboo-00434,strict,15,,11,11,1.0,25.103,25.103
bamboo-00435,oversize-floor,,,5,0,0.0,349.707,301.718
bamboo-00436,oversize-total,,,6,0,0.0,200.446,130.4
bamboo-00437,leftover,,,10,0,0.0,52.985,29.915
bamboo-00438,strict,1,,0,0,1.0,0.0,0.0
bamboo-00439,strict,22,,12,12,1.0,30.791,14.958
bamboo-00440,oversize-floor,,,11,0,0.0,17525.475,12856.35
bamboo-00441,strict,54,,6,6,1.0,7.571,3.0
bamboo-00442,leftover,,,4,0,0.0,31.429,14.9
bamboo-00443,strict,59,,18,18,1.0,9.017,3.0
bamboo-00444,strict,27,,9,9,1.0,127.529,60.536
bamboo-00445,leftover,,,12,0,0.0,32.26,14.958
bamboo-00446,leftover,,,12,0,0.0,42.113,27.0
bamboo-00447,leftover,,,7,0,0.0,28.493,14.9
bamboo-00448,leftover,,2,12,2,0.167,37.752,24.2
bamboo-00449,oversize-total,,,8,0,0.0,265.094,135.23
bamboo-00450,leftover,,2,7,3,0.429,15.795,12.6
bamboo-00451,leftover,,,8,0,0.0,16.402,14.2
bamboo-00452,leftover,,4,5,2,0.4,29.085,14.9
