title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
ToolVQA: A Dataset for Multi-step Reasoning VQA with External Tools	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yin_ToolVQA_A_Dataset_for_Multi-step_Reasoning_VQA_with_External_Tools_ICCV_2025_paper.html		auto					main
Information-Bottleneck Driven Binary Neural Network for Change Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yin_Information-Bottleneck_Driven_Binary_Neural_Network_for_Change_Detection_ICCV_2025_paper.html		auto					main
Ross3D: Reconstructive Visual Instruction Tuning with 3D-Awareness	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_Ross3D_Reconstructive_Visual_Instruction_Tuning_with_3D-Awareness_ICCV_2025_paper.html		auto					main
Dataset Ownership Verification for Pre-trained Masked Models	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Xie_Dataset_Ownership_Verification_for_Pre-trained_Masked_Models_ICCV_2025_paper.html		auto					main
Language Driven Occupancy Prediction	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yu_Language_Driven_Occupancy_Prediction_ICCV_2025_paper.html		auto					main
Event-based Tiny Object Detection: A Benchmark Dataset and Baseline	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Chen_Event-based_Tiny_Object_Detection_A_Benchmark_Dataset_and_Baseline_ICCV_2025_paper.html		auto					main
ViewSRD: 3D Visual Grounding via Structured Multi-View Decomposition	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Huang_ViewSRD_3D_Visual_Grounding_via_Structured_Multi-View_Decomposition_ICCV_2025_paper.html		auto					main
FDPT: Federated Discrete Prompt Tuning for Black-Box Visual-Language Models	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wu_FDPT_Federated_Discrete_Prompt_Tuning_for_Black-Box_Visual-Language_Models_ICCV_2025_paper.html		auto					main
CE-FAM: Concept-Based Explanation via Fusion of Activation Maps	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Kuroki_CE-FAM_Concept-Based_Explanation_via_Fusion_of_Activation_Maps_ICCV_2025_paper.html		auto					main
PLAN: Proactive Low-Rank Allocation for Continual Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_PLAN_Proactive_Low-Rank_Allocation_for_Continual_Learning_ICCV_2025_paper.html		auto					main
EMoTive: Event-guided Trajectory Modeling for 3D Motion Estimation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wan_EMoTive_Event-guided_Trajectory_Modeling_for_3D_Motion_Estimation_ICCV_2025_paper.html		auto					main
From Sharp to Blur: Unsupervised Domain Adaptation for 2D Human Pose Estimation Under Extreme Motion Blur Using Event Cameras	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Kim_From_Sharp_to_Blur_Unsupervised_Domain_Adaptation_for_2D_Human_ICCV_2025_paper.html		auto					main
Motal: Unsupervised 3D Object Detection by Modality and Task-specific Knowledge Transfer	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wu_Motal_Unsupervised_3D_Object_Detection_by_Modality_and_Task-specific_Knowledge_ICCV_2025_paper.html		auto					main
RetinexMCNet: A Memory Controller Dominated Network for Low-Light Video Enhancement Based on Retinex	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_RetinexMCNet_A_Memory_Controller_Dominated_Network_for_Low-Light_Video_Enhancement_ICCV_2025_paper.html		auto					main
Learnable Fractional Reaction-Diffusion Dynamics for Under-Display ToF Imaging and Beyond	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Qiao_Learnable_Fractional_Reaction-Diffusion_Dynamics_for_Under-Display_ToF_Imaging_and_Beyond_ICCV_2025_paper.html		auto					main
Integrating Visual Interpretation and Linguistic Reasoning for Geometric Problem Solving	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Guo_Integrating_Visual_Interpretation_and_Linguistic_Reasoning_for_Geometric_Problem_Solving_ICCV_2025_paper.html		auto					main
Dual-Rate Dynamic Teacher for Source-Free Domain Adaptive Object Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/He_Dual-Rate_Dynamic_Teacher_for_Source-Free_Domain_Adaptive_Object_Detection_ICCV_2025_paper.html		auto					main
How Do Multimodal Large Language Models Handle Complex Multimodal Reasoning? Placing Them in An Extensible Escape Game	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_How_Do_Multimodal_Large_Language_Models_Handle_Complex_Multimodal_Reasoning_ICCV_2025_paper.html		auto					main
UST-SSM: Unified Spatio-Temporal State Space Models for Point Cloud Video Modeling	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Li_UST-SSM_Unified_Spatio-Temporal_State_Space_Models_for_Point_Cloud_Video_ICCV_2025_paper.html		auto					main
