title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
MobileODE: An Extra Lightweight Network	NeurIPS	https://github.com/cashily/MobileODE		https://openreview.net/forum?id=spjAvoZpVW	f35512ecfa6b309e0efba24633c640983666102a	auto		True			poster
Multi-Objective Reinforcement Learning with Max-Min Criterion: A Game-Theoretic Approach	NeurIPS			https://openreview.net/forum?id=YFb7KFE39x		auto					poster
PeRL: Permutation-Enhanced Reinforcement Learning for Interleaved Vision-Language Reasoning	NeurIPS			https://openreview.net/forum?id=hUCgQWItCX		auto					poster
MTRec: Learning to Align with User Preferences via Mental Reward Models	NeurIPS			https://openreview.net/forum?id=1mILyDyPDf		auto					poster
Martingale Score: An Unsupervised Metric for Bayesian Rationality in LLM Reasoning	NeurIPS			https://openreview.net/forum?id=BfO6od6JD6		auto					poster
Achilles' Heel of Mamba: Essential difficulties of the Mamba architecture demonstrated by synthetic data	NeurIPS			https://openreview.net/forum?id=4p28lkk44b		auto					spotlight
Keep It on a Leash: Controllable Pseudo-label Generation Towards Realistic Long-Tailed Semi-Supervised Learning	NeurIPS	https://github.com/yaxinhou/CPG		https://openreview.net/forum?id=n7FPVDWI6C	68aa6cd43a26410b07b1f53eba0338c242f32efd	auto		True			poster
FairDD: Fair Dataset Distillation	NeurIPS			https://openreview.net/forum?id=HqsE29wxnS		auto					poster
RepLDM: Reprogramming Pretrained Latent Diffusion Models for High-Quality, High-Efficiency, High-Resolution Image Generation	NeurIPS	https://github.com/kmittle/RepLDM		https://openreview.net/forum?id=QwXpn5IPKk	c7447832403770cd7e031fccf985f6cc9885a87e	auto		True			spotlight
Harnessing Feature Resonance under Arbitrary Target Alignment for Out-of-Distribution Node Detection	NeurIPS			https://openreview.net/forum?id=JWmfbzw8ur		auto					poster
Understanding LLM Behaviors via Compression: Data Generation, Knowledge Acquisition and Scaling Laws	NeurIPS			https://openreview.net/forum?id=853SwC2dMZ		auto					spotlight
Differentiable Hierarchical Visual Tokenization	NeurIPS			https://openreview.net/forum?id=y8VWYf5cVI		auto					spotlight
HyGen: Efficient LLM Serving via Elastic Online-Offline Request Co-location	NeurIPS	https://github.com/UIUC-MLSys/HyGen		https://openreview.net/forum?id=cQxLCVa9u7	dd5b1190210eca245589ec3617d106d3ddd9e222	auto		True			poster
Beyond Random: Automatic Inner-loop Optimization in Dataset Distillation	NeurIPS			https://openreview.net/forum?id=dbZo5cLlV9		auto					poster
Differentially Private Federated Low Rank Adaptation Beyond Fixed-Matrix	NeurIPS			https://openreview.net/forum?id=TecJ926Vgn		auto					poster
Trajectory Graph Learning: Aligning with Long Trajectories in Reinforcement Learning Without Reward Design	NeurIPS			https://openreview.net/forum?id=QtnCPZMxYg		auto					spotlight
You Can Trust Your Clustering Model: A Parameter-free Self-Boosting Plug-in for Deep Clustering	NeurIPS	https://github.com/l-h-y168/DCBoost		https://openreview.net/forum?id=JqyEIr41M4	ca3077ea1ff2f10f9992d4cb39e988d28f8388a3	auto		True			poster
Parameter-free Algorithms for the Stochastically Extended Adversarial Model	NeurIPS			https://openreview.net/forum?id=LuGevcG5IB		auto					poster
$\text{S}^2$Q-VDiT: Accurate Quantized Video Diffusion Transformer with Salient Data and Sparse Token Distillation	NeurIPS	https://github.com/wlfeng0509/s2q-vdit		https://openreview.net/forum?id=e8pm93koQU	c1c5fd8c3e3eb8b13baf5d9e50616f547be44d98	auto		True			poster
Brain Harmony: A Multimodal Foundation Model Unifying Morphology and Function into 1D Tokens	NeurIPS			https://openreview.net/forum?id=tPJg65EB7D		auto					poster
CovMatch: Cross-Covariance Guided Multimodal Dataset Distillation with Trainable Text Encoder	NeurIPS			https://openreview.net/forum?id=2dpiR9fqUk		auto					poster
